"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 04:21:28 GMT 2022","Sun Jul 03 04:21:32 GMT 2022","3931","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","TC16, Double logout on different tabs with logout button test",""
"passed","Sun Jul 03 04:22:30 GMT 2022","Sun Jul 03 04:22:34 GMT 2022","4271","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","TC21, Checkbox is empty test",""
"passed","Sun Jul 03 04:21:33 GMT 2022","Sun Jul 03 04:21:37 GMT 2022","3686","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","TC01, Accept test",""
"passed","Sun Jul 03 04:21:10 GMT 2022","Sun Jul 03 04:21:13 GMT 2022","2920","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnRegistrationRepeatedlyAndContinuouslyFromDatasource","TC28, Data input on registration repeatedly and continuously from datasource test",""
"passed","Sun Jul 03 04:21:45 GMT 2022","Sun Jul 03 04:21:46 GMT 2022","839","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","TC05, Email and description are empty test",""
"passed","Sun Jul 03 04:21:52 GMT 2022","Sun Jul 03 04:22:04 GMT 2022","11919","","requirements.DataSavingTests","","requirements.DataSavingTests","testDataSavingArticleTitlesIntoFile","TC30, Saving article titles into file test",""
"failed","Sun Jul 03 04:21:51 GMT 2022","Sun Jul 03 04:21:52 GMT 2022","1372","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","TC10, Everything is empty test",""
"passed","Sun Jul 03 04:21:46 GMT 2022","Sun Jul 03 04:21:46 GMT 2022","792","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","TC04, Description is empty test",""
"failed","Sun Jul 03 04:22:26 GMT 2022","Sun Jul 03 04:22:30 GMT 2022","3343","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","TC26, Email without dot test",""
"passed","Sun Jul 03 04:22:34 GMT 2022","Sun Jul 03 04:22:38 GMT 2022","4200","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","TC23, Email without at test",""
