"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 06:21:52 GMT 2022","Tue Jul 12 06:21:54 GMT 2022","1805","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","repetition 1 of 3",""
"failed","Tue Jul 12 06:23:47 GMT 2022","Tue Jul 12 06:23:49 GMT 2022","1440","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 06:22:52 GMT 2022","Tue Jul 12 06:22:56 GMT 2022","3523","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 3 of 3",""
"passed","Tue Jul 12 06:24:43 GMT 2022","Tue Jul 12 06:24:58 GMT 2022","14383","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnLoginRepeatedlyAndContinuouslyFromDatasource","repetition 3 of 3",""
"failed","Tue Jul 12 06:23:40 GMT 2022","Tue Jul 12 06:23:41 GMT 2022","1444","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 1 of 3",""
"passed","Tue Jul 12 06:22:48 GMT 2022","Tue Jul 12 06:22:52 GMT 2022","3645","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 2 of 3",""
"passed","Tue Jul 12 06:22:38 GMT 2022","Tue Jul 12 06:22:39 GMT 2022","1080","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","repetition 2 of 3",""
"passed","Tue Jul 12 06:22:37 GMT 2022","Tue Jul 12 06:22:38 GMT 2022","1042","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","repetition 1 of 3",""
"failed","Tue Jul 12 06:23:43 GMT 2022","Tue Jul 12 06:23:44 GMT 2022","1464","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 3 of 3",""
"passed","Tue Jul 12 06:26:46 GMT 2022","Tue Jul 12 06:26:48 GMT 2022","1929","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 06:25:03 GMT 2022","Tue Jul 12 06:25:15 GMT 2022","11955","","requirements.DataSavingTests","","requirements.DataSavingTests","testDataSavingArticleTitlesIntoFile","repetition 1 of 3",""
"failed","Tue Jul 12 06:23:30 GMT 2022","Tue Jul 12 06:23:32 GMT 2022","1512","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","repetition 1 of 3",""
"failed","Tue Jul 12 06:23:44 GMT 2022","Tue Jul 12 06:23:46 GMT 2022","1492","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 06:23:20 GMT 2022","Tue Jul 12 06:23:24 GMT 2022","3912","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","repetition 2 of 3",""
"passed","Tue Jul 12 06:22:36 GMT 2022","Tue Jul 12 06:22:37 GMT 2022","1027","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","repetition 3 of 3",""
