"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 02 13:28:10 GMT 2022","Sat Jul 02 13:28:12 GMT 2022","1739","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","TC10, Everything is empty test",""
"failed","Sat Jul 02 13:28:00 GMT 2022","Sat Jul 02 13:28:02 GMT 2022","1880","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","TC09, Username is empty test",""
"passed","Sat Jul 02 13:28:13 GMT 2022","Sat Jul 02 13:28:25 GMT 2022","11830","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","TC11, Everything is filled test",""
"passed","Sat Jul 02 13:28:25 GMT 2022","Sat Jul 02 13:28:26 GMT 2022","1358","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","TC12, Username is empty test",""
"passed","Sat Jul 02 13:28:26 GMT 2022","Sat Jul 02 13:28:27 GMT 2022","1326","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","TC15, Username is unregistered test",""
"passed","Sat Jul 02 13:27:55 GMT 2022","Sat Jul 02 13:27:59 GMT 2022","4301","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","TC01, Accept test",""
"passed","Sat Jul 02 13:27:59 GMT 2022","Sat Jul 02 13:28:00 GMT 2022","1175","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","TC03, Everything is filled test",""
"passed","Sat Jul 02 13:28:27 GMT 2022","Sat Jul 02 13:28:29 GMT 2022","1325","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","TC14, Password is unregistered test",""
"passed","Sat Jul 02 13:28:03 GMT 2022","Sat Jul 02 13:28:04 GMT 2022","1086","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","TC04, Description is empty test",""
"failed","Sat Jul 02 13:28:04 GMT 2022","Sat Jul 02 13:28:06 GMT 2022","1867","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","TC06, Email without at test",""
"passed","Sat Jul 02 13:27:52 GMT 2022","Sat Jul 02 13:27:55 GMT 2022","3050","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","TC02, Close test",""
"failed","Sat Jul 02 13:28:08 GMT 2022","Sat Jul 02 13:28:10 GMT 2022","1766","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","TC07, Email without dot test",""
"passed","Sat Jul 02 13:28:12 GMT 2022","Sat Jul 02 13:28:13 GMT 2022","1359","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","TC13, Password is empty test",""
"passed","Sat Jul 02 13:28:02 GMT 2022","Sat Jul 02 13:28:03 GMT 2022","1116","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","TC05, Email and description are empty test",""
"failed","Sat Jul 02 13:28:06 GMT 2022","Sat Jul 02 13:28:08 GMT 2022","1838","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","TC08, Password is empty test",""
