"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 04:39:21 GMT 2022","Tue Jul 12 04:39:25 GMT 2022","4094","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 3 of 3",""
"failed","Tue Jul 12 04:38:10 GMT 2022","Tue Jul 12 04:38:12 GMT 2022","2155","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","repetition 3 of 3",""
"passed","Tue Jul 12 04:37:02 GMT 2022","Tue Jul 12 04:37:16 GMT 2022","14362","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnLoginRepeatedlyAndContinuouslyFromDatasource","repetition 2 of 3",""
"failed","Tue Jul 12 04:36:19 GMT 2022","Tue Jul 12 04:36:20 GMT 2022","1685","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 2 of 3",""
"passed","Tue Jul 12 04:38:28 GMT 2022","Tue Jul 12 04:38:32 GMT 2022","4061","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 2 of 3",""
"passed","Tue Jul 12 04:38:32 GMT 2022","Tue Jul 12 04:38:37 GMT 2022","4074","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 3 of 3",""
"passed","Tue Jul 12 04:36:43 GMT 2022","Tue Jul 12 04:36:46 GMT 2022","2631","","requirements.DataDeleteTests","","requirements.DataDeleteTests","testDataDeleteAccount","repetition 3 of 3",""
"passed","Tue Jul 12 04:38:39 GMT 2022","Tue Jul 12 04:38:41 GMT 2022","1991","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 2 of 3",""
"passed","Tue Jul 12 04:35:25 GMT 2022","Tue Jul 12 04:35:29 GMT 2022","4286","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 1 of 3",""
"failed","Tue Jul 12 04:36:26 GMT 2022","Tue Jul 12 04:36:28 GMT 2022","1956","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 04:38:41 GMT 2022","Tue Jul 12 04:38:43 GMT 2022","1967","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 3 of 3",""
"passed","Tue Jul 12 04:39:29 GMT 2022","Tue Jul 12 04:39:33 GMT 2022","4074","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 04:39:03 GMT 2022","Tue Jul 12 04:39:07 GMT 2022","4180","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingAfterAt","repetition 3 of 3",""
