"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 17:15:02 GMT 2022","Mon Jul 11 17:15:03 GMT 2022","1162","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","repetition 2 of 3",""
"passed","Mon Jul 11 17:12:26 GMT 2022","Mon Jul 11 17:12:30 GMT 2022","3846","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 3 of 3",""
"passed","Mon Jul 11 17:12:38 GMT 2022","Mon Jul 11 17:12:40 GMT 2022","2046","","requirements.DataDeleteTests","","requirements.DataDeleteTests","testDataDeleteAccount","repetition 2 of 3",""
"passed","Mon Jul 11 17:12:22 GMT 2022","Mon Jul 11 17:12:26 GMT 2022","3796","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 2 of 3",""
"failed","Mon Jul 11 17:15:08 GMT 2022","Mon Jul 11 17:15:10 GMT 2022","2546","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","repetition 1 of 3",""
"failed","Mon Jul 11 17:12:53 GMT 2022","Mon Jul 11 17:12:54 GMT 2022","1606","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","repetition 2 of 3",""
"passed","Mon Jul 11 17:16:02 GMT 2022","Mon Jul 11 17:16:07 GMT 2022","4373","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingAfterAt","repetition 1 of 3",""
"passed","Mon Jul 11 17:16:36 GMT 2022","Mon Jul 11 17:16:40 GMT 2022","4479","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","repetition 1 of 3",""
"failed","Mon Jul 11 17:15:10 GMT 2022","Mon Jul 11 17:15:13 GMT 2022","2461","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","repetition 2 of 3",""
"passed","Mon Jul 11 17:16:31 GMT 2022","Mon Jul 11 17:16:36 GMT 2022","4447","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 3 of 3",""
"failed","Mon Jul 11 17:13:10 GMT 2022","Mon Jul 11 17:13:12 GMT 2022","1659","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","repetition 3 of 3",""
"passed","Mon Jul 11 17:16:45 GMT 2022","Mon Jul 11 17:16:49 GMT 2022","4449","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","repetition 3 of 3",""
"passed","Mon Jul 11 17:15:38 GMT 2022","Mon Jul 11 17:15:42 GMT 2022","4380","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 3 of 3",""
"passed","Mon Jul 11 17:15:04 GMT 2022","Mon Jul 11 17:15:06 GMT 2022","1137","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","repetition 1 of 3",""
"failed","Mon Jul 11 17:13:03 GMT 2022","Mon Jul 11 17:13:05 GMT 2022","1617","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 2 of 3",""
"passed","Mon Jul 11 17:12:56 GMT 2022","Mon Jul 11 17:12:57 GMT 2022","950","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","repetition 1 of 3",""
"passed","Mon Jul 11 17:15:29 GMT 2022","Mon Jul 11 17:15:33 GMT 2022","4481","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 1 of 3",""
"failed","Mon Jul 11 17:13:08 GMT 2022","Mon Jul 11 17:13:10 GMT 2022","1605","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","repetition 2 of 3",""
"passed","Mon Jul 11 17:14:20 GMT 2022","Mon Jul 11 17:14:21 GMT 2022","1155","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","repetition 2 of 3",""
"failed","Mon Jul 11 17:13:02 GMT 2022","Mon Jul 11 17:13:03 GMT 2022","1619","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 1 of 3",""
"passed","Mon Jul 11 17:16:07 GMT 2022","Mon Jul 11 17:16:11 GMT 2022","4463","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingAfterAt","repetition 2 of 3",""
"passed","Mon Jul 11 17:13:58 GMT 2022","Mon Jul 11 17:14:05 GMT 2022","7103","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","repetition 1 of 3",""
"failed","Mon Jul 11 17:13:16 GMT 2022","Mon Jul 11 17:13:18 GMT 2022","1573","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","repetition 1 of 3",""
"passed","Mon Jul 11 17:16:16 GMT 2022","Mon Jul 11 17:16:18 GMT 2022","2298","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","repetition 1 of 3",""
"passed","Mon Jul 11 17:15:03 GMT 2022","Mon Jul 11 17:15:04 GMT 2022","1168","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","repetition 3 of 3",""
"passed","Mon Jul 11 17:14:12 GMT 2022","Mon Jul 11 17:14:19 GMT 2022","6992","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","repetition 3 of 3",""
"passed","Mon Jul 11 17:13:00 GMT 2022","Mon Jul 11 17:13:01 GMT 2022","957","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","repetition 2 of 3",""
"passed","Mon Jul 11 17:15:24 GMT 2022","Mon Jul 11 17:15:29 GMT 2022","4350","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 3 of 3",""
"passed","Mon Jul 11 17:15:01 GMT 2022","Mon Jul 11 17:15:02 GMT 2022","1139","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","repetition 1 of 3",""
"failed","Mon Jul 11 17:12:54 GMT 2022","Mon Jul 11 17:12:56 GMT 2022","1639","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","repetition 3 of 3",""
"passed","Mon Jul 11 17:13:45 GMT 2022","Mon Jul 11 17:13:58 GMT 2022","12181","","requirements.DataSavingTests","","requirements.DataSavingTests","testDataSavingArticleTitlesIntoFile","repetition 3 of 3",""
