"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 16:47:58 GMT 2022","Tue Jul 12 16:48:00 GMT 2022","2098","","requirements.DataDeleteTests","","requirements.DataDeleteTests","testDataDeleteAccount","repetition 3 of 3",""
"passed","Tue Jul 12 16:47:08 GMT 2022","Tue Jul 12 16:47:24 GMT 2022","15238","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnLoginRepeatedlyAndContinuouslyFromDatasource","repetition 1 of 3",""
"passed","Tue Jul 12 16:49:40 GMT 2022","Tue Jul 12 16:49:45 GMT 2022","4489","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingAfterAt","repetition 3 of 3",""
"passed","Tue Jul 12 16:46:10 GMT 2022","Tue Jul 12 16:46:14 GMT 2022","4178","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","repetition 3 of 3",""
"passed","Tue Jul 12 16:46:25 GMT 2022","Tue Jul 12 16:46:26 GMT 2022","939","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 16:46:14 GMT 2022","Tue Jul 12 16:46:15 GMT 2022","970","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","repetition 1 of 3",""
"passed","Tue Jul 12 16:49:49 GMT 2022","Tue Jul 12 16:49:52 GMT 2022","2232","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 16:47:06 GMT 2022","Tue Jul 12 16:47:08 GMT 2022","2575","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnRegistrationRepeatedlyAndContinuouslyFromDatasource","repetition 3 of 3",""
"passed","Tue Jul 12 16:49:13 GMT 2022","Tue Jul 12 16:49:16 GMT 2022","2364","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 2 of 3",""
"passed","Tue Jul 12 16:49:52 GMT 2022","Tue Jul 12 16:49:56 GMT 2022","4426","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 1 of 3",""
"passed","Tue Jul 12 16:50:10 GMT 2022","Tue Jul 12 16:50:14 GMT 2022","4476","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 16:44:33 GMT 2022","Tue Jul 12 16:44:35 GMT 2022","1984","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 16:47:24 GMT 2022","Tue Jul 12 16:47:39 GMT 2022","15071","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnLoginRepeatedlyAndContinuouslyFromDatasource","repetition 2 of 3",""
"passed","Tue Jul 12 16:44:35 GMT 2022","Tue Jul 12 16:44:37 GMT 2022","1241","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 16:46:06 GMT 2022","Tue Jul 12 16:46:10 GMT 2022","4419","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","repetition 2 of 3",""
"passed","Tue Jul 12 16:46:26 GMT 2022","Tue Jul 12 16:46:27 GMT 2022","953","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","repetition 2 of 3",""
"failed","Tue Jul 12 16:46:28 GMT 2022","Tue Jul 12 16:46:30 GMT 2022","1674","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 1 of 3",""
"passed","Tue Jul 12 16:49:16 GMT 2022","Tue Jul 12 16:49:18 GMT 2022","2280","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 3 of 3",""
"failed","Tue Jul 12 16:46:38 GMT 2022","Tue Jul 12 16:46:40 GMT 2022","1679","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","repetition 1 of 3",""
"passed","Tue Jul 12 16:45:01 GMT 2022","Tue Jul 12 16:45:13 GMT 2022","11575","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","repetition 3 of 3",""
"passed","Tue Jul 12 16:49:56 GMT 2022","Tue Jul 12 16:50:01 GMT 2022","4435","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 2 of 3",""
"passed","Tue Jul 12 16:46:23 GMT 2022","Tue Jul 12 16:46:24 GMT 2022","935","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","repetition 2 of 3",""
"failed","Tue Jul 12 16:46:32 GMT 2022","Tue Jul 12 16:46:33 GMT 2022","1715","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 3 of 3",""
"passed","Tue Jul 12 16:49:02 GMT 2022","Tue Jul 12 16:49:06 GMT 2022","4536","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 2 of 3",""
"passed","Tue Jul 12 16:46:01 GMT 2022","Tue Jul 12 16:46:06 GMT 2022","4336","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","repetition 1 of 3",""
"passed","Tue Jul 12 16:45:13 GMT 2022","Tue Jul 12 16:45:14 GMT 2022","1236","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 16:49:36 GMT 2022","Tue Jul 12 16:49:40 GMT 2022","4410","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingAfterAt","repetition 2 of 3",""
"failed","Tue Jul 12 16:46:33 GMT 2022","Tue Jul 12 16:46:35 GMT 2022","1661","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","repetition 1 of 3",""
"failed","Tue Jul 12 16:46:43 GMT 2022","Tue Jul 12 16:46:45 GMT 2022","1665","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 16:45:54 GMT 2022","Tue Jul 12 16:46:01 GMT 2022","7059","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","repetition 3 of 3",""
"passed","Tue Jul 12 16:46:27 GMT 2022","Tue Jul 12 16:46:28 GMT 2022","1007","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 16:45:33 GMT 2022","Tue Jul 12 16:45:37 GMT 2022","3728","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 2 of 3",""
"passed","Tue Jul 12 16:49:11 GMT 2022","Tue Jul 12 16:49:13 GMT 2022","2333","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 1 of 3",""
"passed","Tue Jul 12 16:47:03 GMT 2022","Tue Jul 12 16:47:06 GMT 2022","2630","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnRegistrationRepeatedlyAndContinuouslyFromDatasource","repetition 2 of 3",""
"failed","Tue Jul 12 16:46:30 GMT 2022","Tue Jul 12 16:46:32 GMT 2022","1704","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 2 of 3",""
"passed","Tue Jul 12 16:45:20 GMT 2022","Tue Jul 12 16:45:22 GMT 2022","1189","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","repetition 1 of 3",""
"passed","Tue Jul 12 16:46:55 GMT 2022","Tue Jul 12 16:46:57 GMT 2022","1864","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 1 of 3",""
"failed","Tue Jul 12 16:46:42 GMT 2022","Tue Jul 12 16:46:43 GMT 2022","1671","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","repetition 3 of 3",""
"failed","Tue Jul 12 16:46:45 GMT 2022","Tue Jul 12 16:46:47 GMT 2022","1627","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 16:49:23 GMT 2022","Tue Jul 12 16:49:27 GMT 2022","4586","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputNameEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 16:46:57 GMT 2022","Tue Jul 12 16:46:59 GMT 2022","1806","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 2 of 3",""
"passed","Tue Jul 12 16:48:58 GMT 2022","Tue Jul 12 16:49:02 GMT 2022","4392","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 1 of 3",""
"passed","Tue Jul 12 16:45:17 GMT 2022","Tue Jul 12 16:45:18 GMT 2022","1225","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","repetition 1 of 3",""
"passed","Tue Jul 12 16:47:54 GMT 2022","Tue Jul 12 16:47:56 GMT 2022","2113","","requirements.DataDeleteTests","","requirements.DataDeleteTests","testDataDeleteAccount","repetition 1 of 3",""
"passed","Tue Jul 12 16:45:40 GMT 2022","Tue Jul 12 16:45:47 GMT 2022","6991","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","repetition 1 of 3",""
"passed","Tue Jul 12 16:46:59 GMT 2022","Tue Jul 12 16:47:01 GMT 2022","1883","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 3 of 3",""
"passed","Tue Jul 12 16:46:51 GMT 2022","Tue Jul 12 16:46:53 GMT 2022","2218","","requirements.DataModifyingTests","","requirements.DataModifyingTests","testDataModifyingProfile","repetition 2 of 3",""
"passed","Tue Jul 12 16:49:47 GMT 2022","Tue Jul 12 16:49:49 GMT 2022","2245","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 16:48:44 GMT 2022","Tue Jul 12 16:48:49 GMT 2022","4334","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 16:46:24 GMT 2022","Tue Jul 12 16:46:25 GMT 2022","938","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 16:50:01 GMT 2022","Tue Jul 12 16:50:05 GMT 2022","4649","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 3 of 3",""
"passed","Tue Jul 12 16:48:00 GMT 2022","Tue Jul 12 16:48:12 GMT 2022","12133","","requirements.DataSavingTests","","requirements.DataSavingTests","testDataSavingArticleTitlesIntoFile","repetition 1 of 3",""
"passed","Tue Jul 12 16:45:37 GMT 2022","Tue Jul 12 16:45:40 GMT 2022","3765","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 3 of 3",""
"passed","Tue Jul 12 16:45:23 GMT 2022","Tue Jul 12 16:45:24 GMT 2022","1217","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","repetition 3 of 3",""
"passed","Tue Jul 12 16:49:18 GMT 2022","Tue Jul 12 16:49:23 GMT 2022","4476","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputNameEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 16:45:27 GMT 2022","Tue Jul 12 16:45:29 GMT 2022","1697","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","repetition 3 of 3",""
"failed","Tue Jul 12 16:46:19 GMT 2022","Tue Jul 12 16:46:21 GMT 2022","1697","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 16:45:26 GMT 2022","Tue Jul 12 16:45:27 GMT 2022","1603","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","repetition 2 of 3",""
"passed","Tue Jul 12 16:48:53 GMT 2022","Tue Jul 12 16:48:58 GMT 2022","4429","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 3 of 3",""
"failed","Tue Jul 12 16:46:17 GMT 2022","Tue Jul 12 16:46:19 GMT 2022","1732","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 16:50:05 GMT 2022","Tue Jul 12 16:50:10 GMT 2022","4508","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","repetition 1 of 3",""
"failed","Tue Jul 12 16:48:36 GMT 2022","Tue Jul 12 16:48:39 GMT 2022","2596","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","repetition 1 of 3",""
"passed","Tue Jul 12 16:44:50 GMT 2022","Tue Jul 12 16:45:01 GMT 2022","11654","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","repetition 2 of 3",""
