"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 18:57:19 GMT 2022","Mon Jul 11 18:57:20 GMT 2022","1076","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","repetition 1 of 3",""
"passed","Mon Jul 11 18:57:38 GMT 2022","Mon Jul 11 18:57:42 GMT 2022","4282","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 3 of 3",""
"passed","Mon Jul 11 18:54:37 GMT 2022","Mon Jul 11 18:54:38 GMT 2022","1537","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","repetition 2 of 3",""
"failed","Mon Jul 11 18:55:22 GMT 2022","Mon Jul 11 18:55:23 GMT 2022","1503","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 2 of 3",""
"passed","Mon Jul 11 18:55:38 GMT 2022","Mon Jul 11 18:55:50 GMT 2022","11941","","requirements.DataSavingTests","","requirements.DataSavingTests","testDataSavingArticleTitlesIntoFile","repetition 1 of 3",""
"passed","Mon Jul 11 18:53:31 GMT 2022","Mon Jul 11 18:53:34 GMT 2022","3179","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnRegistrationRepeatedlyAndContinuouslyFromDatasource","repetition 1 of 3",""
"passed","Mon Jul 11 18:57:55 GMT 2022","Mon Jul 11 18:57:57 GMT 2022","2249","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 1 of 3",""
"passed","Mon Jul 11 18:58:23 GMT 2022","Mon Jul 11 18:58:27 GMT 2022","4282","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingAfterAt","repetition 3 of 3",""
"passed","Mon Jul 11 18:58:31 GMT 2022","Mon Jul 11 18:58:33 GMT 2022","2078","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","repetition 3 of 3",""
"failed","Mon Jul 11 18:57:22 GMT 2022","Mon Jul 11 18:57:25 GMT 2022","2395","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","repetition 1 of 3",""
"failed","Mon Jul 11 18:55:14 GMT 2022","Mon Jul 11 18:55:15 GMT 2022","1500","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","repetition 3 of 3",""
"failed","Mon Jul 11 18:55:32 GMT 2022","Mon Jul 11 18:55:34 GMT 2022","1511","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","repetition 3 of 3",""
"passed","Mon Jul 11 18:58:10 GMT 2022","Mon Jul 11 18:58:15 GMT 2022","4327","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputNameEmpty","repetition 3 of 3",""
"passed","Mon Jul 11 18:58:06 GMT 2022","Mon Jul 11 18:58:10 GMT 2022","4426","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputNameEmpty","repetition 2 of 3",""
"passed","Mon Jul 11 18:57:01 GMT 2022","Mon Jul 11 18:57:13 GMT 2022","11530","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","repetition 3 of 3",""
"passed","Mon Jul 11 18:57:47 GMT 2022","Mon Jul 11 18:57:51 GMT 2022","4301","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 2 of 3",""
"passed","Mon Jul 11 18:55:15 GMT 2022","Mon Jul 11 18:55:16 GMT 2022","855","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","repetition 1 of 3",""
"passed","Mon Jul 11 18:56:21 GMT 2022","Mon Jul 11 18:56:28 GMT 2022","6883","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","repetition 2 of 3",""
"passed","Mon Jul 11 18:53:54 GMT 2022","Mon Jul 11 18:54:08 GMT 2022","14670","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnLoginRepeatedlyAndContinuouslyFromDatasource","repetition 2 of 3",""
"failed","Mon Jul 11 18:55:23 GMT 2022","Mon Jul 11 18:55:25 GMT 2022","1502","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 3 of 3",""
"passed","Mon Jul 11 18:54:35 GMT 2022","Mon Jul 11 18:54:37 GMT 2022","1503","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","repetition 1 of 3",""
"passed","Mon Jul 11 18:57:14 GMT 2022","Mon Jul 11 18:57:15 GMT 2022","1048","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","repetition 2 of 3",""
"passed","Mon Jul 11 18:55:08 GMT 2022","Mon Jul 11 18:55:09 GMT 2022","919","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","repetition 1 of 3",""
"passed","Mon Jul 11 18:57:57 GMT 2022","Mon Jul 11 18:57:59 GMT 2022","2097","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 2 of 3",""
"passed","Mon Jul 11 18:58:02 GMT 2022","Mon Jul 11 18:58:06 GMT 2022","4231","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputNameEmpty","repetition 1 of 3",""
