"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 09:54:24 GMT 2022","Tue Jul 12 09:54:27 GMT 2022","2086","","requirements.DataDeleteTests","","requirements.DataDeleteTests","testDataDeleteAccount","repetition 2 of 3",""
"passed","Tue Jul 12 09:56:28 GMT 2022","Tue Jul 12 09:56:32 GMT 2022","4605","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 2 of 3",""
"passed","Tue Jul 12 09:55:13 GMT 2022","Tue Jul 12 09:55:18 GMT 2022","4505","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 1 of 3",""
"failed","Tue Jul 12 09:52:52 GMT 2022","Tue Jul 12 09:52:54 GMT 2022","1558","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 09:55:43 GMT 2022","Tue Jul 12 09:55:45 GMT 2022","2394","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 2 of 3",""
"passed","Tue Jul 12 09:53:20 GMT 2022","Tue Jul 12 09:53:22 GMT 2022","2079","","requirements.DataModifyingTests","","requirements.DataModifyingTests","testDataModifyingProfile","repetition 2 of 3",""
"failed","Tue Jul 12 09:53:15 GMT 2022","Tue Jul 12 09:53:16 GMT 2022","1461","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 09:55:45 GMT 2022","Tue Jul 12 09:55:48 GMT 2022","2555","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","repetition 3 of 3",""
"passed","Tue Jul 12 09:52:48 GMT 2022","Tue Jul 12 09:52:49 GMT 2022","1102","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","repetition 3 of 3",""
"failed","Tue Jul 12 09:53:03 GMT 2022","Tue Jul 12 09:53:04 GMT 2022","1500","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 3 of 3",""
"passed","Tue Jul 12 09:53:32 GMT 2022","Tue Jul 12 09:53:35 GMT 2022","2488","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnRegistrationRepeatedlyAndContinuouslyFromDatasource","repetition 2 of 3",""
"passed","Tue Jul 12 09:52:47 GMT 2022","Tue Jul 12 09:52:48 GMT 2022","1022","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","repetition 2 of 3",""
"failed","Tue Jul 12 09:53:06 GMT 2022","Tue Jul 12 09:53:07 GMT 2022","1523","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 09:54:07 GMT 2022","Tue Jul 12 09:54:22 GMT 2022","14908","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","","requirements.DataInputRepeatedlyAndContinuouslyFromDatasourceTests","testDataInputOnLoginRepeatedlyAndContinuouslyFromDatasource","repetition 3 of 3",""
"passed","Tue Jul 12 09:55:22 GMT 2022","Tue Jul 12 09:55:27 GMT 2022","4542","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 3 of 3",""
"passed","Tue Jul 12 09:55:36 GMT 2022","Tue Jul 12 09:55:40 GMT 2022","4899","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 3 of 3",""
"passed","Tue Jul 12 09:56:37 GMT 2022","Tue Jul 12 09:56:41 GMT 2022","4614","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","repetition 1 of 3",""
"passed","Tue Jul 12 09:55:18 GMT 2022","Tue Jul 12 09:55:22 GMT 2022","4441","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","repetition 2 of 3",""
"passed","Tue Jul 12 09:51:47 GMT 2022","Tue Jul 12 09:51:49 GMT 2022","1241","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","repetition 1 of 3",""
"failed","Tue Jul 12 09:55:10 GMT 2022","Tue Jul 12 09:55:13 GMT 2022","2658","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","repetition 3 of 3",""
