"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 02 13:21:16 GMT 2022","Sat Jul 02 13:21:18 GMT 2022","1482","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","TC09, Username is empty test",""
"passed","Sat Jul 02 13:21:18 GMT 2022","Sat Jul 02 13:21:19 GMT 2022","866","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","TC05, Email and description are empty test",""
"failed","Sat Jul 02 13:21:21 GMT 2022","Sat Jul 02 13:21:22 GMT 2022","1470","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","TC08, Password is empty test",""
"failed","Sat Jul 02 13:21:20 GMT 2022","Sat Jul 02 13:21:21 GMT 2022","1453","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","TC06, Email without at test",""
"failed","Sat Jul 02 13:21:24 GMT 2022","Sat Jul 02 13:21:25 GMT 2022","1411","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","TC10, Everything is empty test",""
"passed","Sat Jul 02 13:21:12 GMT 2022","Sat Jul 02 13:21:15 GMT 2022","3767","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","TC01, Accept test",""
"passed","Sat Jul 02 13:21:15 GMT 2022","Sat Jul 02 13:21:16 GMT 2022","932","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","TC03, Everything is filled test",""
"passed","Sat Jul 02 13:21:09 GMT 2022","Sat Jul 02 13:21:12 GMT 2022","2065","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","TC02, Close test",""
"failed","Sat Jul 02 13:21:23 GMT 2022","Sat Jul 02 13:21:24 GMT 2022","1446","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","TC07, Email without dot test",""
"passed","Sat Jul 02 13:21:19 GMT 2022","Sat Jul 02 13:21:20 GMT 2022","845","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","TC04, Description is empty test",""
