"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 03:16:52 GMT 2022","Sun Jul 03 03:17:03 GMT 2022","11301","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","TC11, Everything is filled test",""
"failed","Sun Jul 03 03:16:40 GMT 2022","Sun Jul 03 03:16:41 GMT 2022","1442","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","TC08, Password is empty test",""
"failed","Sun Jul 03 03:16:38 GMT 2022","Sun Jul 03 03:16:40 GMT 2022","1464","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","TC06, Email without at test",""
"passed","Sun Jul 03 03:16:37 GMT 2022","Sun Jul 03 03:16:38 GMT 2022","843","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","TC04, Description is empty test",""
"passed","Sun Jul 03 03:16:34 GMT 2022","Sun Jul 03 03:16:35 GMT 2022","837","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","TC03, Everything is filled test",""
"failed","Sun Jul 03 03:16:43 GMT 2022","Sun Jul 03 03:16:44 GMT 2022","1380","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","TC10, Everything is empty test",""
"passed","Sun Jul 03 03:16:31 GMT 2022","Sun Jul 03 03:16:34 GMT 2022","3588","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","TC01, Accept test",""
"passed","Sun Jul 03 03:16:29 GMT 2022","Sun Jul 03 03:16:31 GMT 2022","1509","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","TC02, Close test",""
"passed","Sun Jul 03 03:16:51 GMT 2022","Sun Jul 03 03:16:52 GMT 2022","1169","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","TC13, Password is empty test",""
"passed","Sun Jul 03 03:17:04 GMT 2022","Sun Jul 03 03:17:05 GMT 2022","966","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","TC15, Username is unregistered test",""
"failed","Sun Jul 03 03:16:35 GMT 2022","Sun Jul 03 03:16:37 GMT 2022","1523","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","TC09, Username is empty test",""
"passed","Sun Jul 03 03:17:05 GMT 2022","Sun Jul 03 03:17:06 GMT 2022","973","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","TC14, Password is unregistered test",""
"passed","Sun Jul 03 03:16:44 GMT 2022","Sun Jul 03 03:16:51 GMT 2022","6733","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","TC17, Pagination on blog page test",""
"passed","Sun Jul 03 03:17:03 GMT 2022","Sun Jul 03 03:17:04 GMT 2022","1056","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","TC12, Username is empty test",""
"passed","Sun Jul 03 03:16:25 GMT 2022","Sun Jul 03 03:16:29 GMT 2022","4466","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","TC16, Double logout on different tabs with logout button test",""
"failed","Sun Jul 03 03:16:41 GMT 2022","Sun Jul 03 03:16:43 GMT 2022","1469","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","TC07, Email without dot test",""
"passed","Sun Jul 03 03:16:37 GMT 2022","Sun Jul 03 03:16:37 GMT 2022","808","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","TC05, Email and description are empty test",""
