"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 05:44:21 GMT 2022","Sun Jul 03 05:44:24 GMT 2022","2402","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","repetition 2 of 3",""
"passed","Sun Jul 03 05:40:30 GMT 2022","Sun Jul 03 05:40:32 GMT 2022","2381","","requirements.DataModifyingTests","","requirements.DataModifyingTests","testDataModifyingProfile","repetition 2 of 3",""
"failed","Sun Jul 03 05:41:18 GMT 2022","Sun Jul 03 05:41:20 GMT 2022","1569","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","repetition 3 of 3",""
"passed","Sun Jul 03 05:39:57 GMT 2022","Sun Jul 03 05:40:02 GMT 2022","4413","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","repetition 1 of 3",""
"failed","Sun Jul 03 05:43:13 GMT 2022","Sun Jul 03 05:43:16 GMT 2022","2710","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","repetition 3 of 3",""
"passed","Sun Jul 03 05:43:04 GMT 2022","Sun Jul 03 05:43:05 GMT 2022","1200","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","repetition 1 of 3",""
"passed","Sun Jul 03 05:43:56 GMT 2022","Sun Jul 03 05:44:00 GMT 2022","4656","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputNameEmpty","repetition 2 of 3",""
"passed","Sun Jul 03 05:43:39 GMT 2022","Sun Jul 03 05:43:44 GMT 2022","4782","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","repetition 3 of 3",""
"passed","Sun Jul 03 05:44:26 GMT 2022","Sun Jul 03 05:44:31 GMT 2022","4601","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","repetition 1 of 3",""
"passed","Sun Jul 03 05:42:33 GMT 2022","Sun Jul 03 05:42:45 GMT 2022","11621","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","repetition 2 of 3",""
"passed","Sun Jul 03 05:42:56 GMT 2022","Sun Jul 03 05:42:58 GMT 2022","1264","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","repetition 1 of 3",""
"failed","Sun Jul 03 05:41:12 GMT 2022","Sun Jul 03 05:41:13 GMT 2022","1619","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","repetition 2 of 3",""
"passed","Sun Jul 03 05:40:20 GMT 2022","Sun Jul 03 05:40:23 GMT 2022","3892","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","repetition 2 of 3",""
"failed","Sun Jul 03 05:41:15 GMT 2022","Sun Jul 03 05:41:16 GMT 2022","1584","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","repetition 1 of 3",""
"passed","Sun Jul 03 05:42:59 GMT 2022","Sun Jul 03 05:43:00 GMT 2022","1177","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","repetition 3 of 3",""
"failed","Sun Jul 03 05:41:03 GMT 2022","Sun Jul 03 05:41:05 GMT 2022","1670","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","repetition 3 of 3",""
"passed","Sun Jul 03 05:40:27 GMT 2022","Sun Jul 03 05:40:30 GMT 2022","2287","","requirements.DataModifyingTests","","requirements.DataModifyingTests","testDataModifyingProfile","repetition 1 of 3",""
"passed","Sun Jul 03 05:42:45 GMT 2022","Sun Jul 03 05:42:56 GMT 2022","11664","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","repetition 3 of 3",""
