"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 03:33:06 GMT 2022","Sun Jul 03 03:33:08 GMT 2022","1335","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","TC15, Username is unregistered test",""
"passed","Sun Jul 03 03:32:52 GMT 2022","Sun Jul 03 03:32:53 GMT 2022","1549","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","TC13, Password is empty test",""
"passed","Sun Jul 03 03:32:32 GMT 2022","Sun Jul 03 03:32:33 GMT 2022","1174","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","TC03, Everything is filled test",""
"passed","Sun Jul 03 03:33:22 GMT 2022","Sun Jul 03 03:33:24 GMT 2022","2781","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","TC19, Everything is filled test",""
"passed","Sun Jul 03 03:32:44 GMT 2022","Sun Jul 03 03:32:51 GMT 2022","7325","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","TC17, Pagination on blog page test",""
"failed","Sun Jul 03 03:32:41 GMT 2022","Sun Jul 03 03:32:42 GMT 2022","1763","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","TC07, Email without dot test",""
"passed","Sun Jul 03 03:32:26 GMT 2022","Sun Jul 03 03:32:30 GMT 2022","4119","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","TC01, Accept test",""
"passed","Sun Jul 03 03:33:05 GMT 2022","Sun Jul 03 03:33:06 GMT 2022","1392","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","TC12, Username is empty test",""
"failed","Sun Jul 03 03:32:33 GMT 2022","Sun Jul 03 03:32:35 GMT 2022","1712","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","TC09, Username is empty test",""
"passed","Sun Jul 03 03:32:24 GMT 2022","Sun Jul 03 03:32:26 GMT 2022","2006","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","TC02, Close test",""
"passed","Sun Jul 03 03:33:37 GMT 2022","Sun Jul 03 03:33:42 GMT 2022","4850","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","TC25, Email, nothing before at test",""
"passed","Sun Jul 03 03:33:12 GMT 2022","Sun Jul 03 03:33:17 GMT 2022","4913","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","TC21, Checkbox is empty test",""
"passed","Sun Jul 03 03:33:24 GMT 2022","Sun Jul 03 03:33:29 GMT 2022","4812","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputNameEmpty","TC27, Name is empty test",""
"passed","Sun Jul 03 03:32:30 GMT 2022","Sun Jul 03 03:32:32 GMT 2022","2346","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 1 of 1",""
"passed","Sun Jul 03 03:33:42 GMT 2022","Sun Jul 03 03:33:46 GMT 2022","4825","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","TC22, Email is empty test",""
"failed","Sun Jul 03 03:32:42 GMT 2022","Sun Jul 03 03:32:44 GMT 2022","1672","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","TC10, Everything is empty test",""
"failed","Sun Jul 03 03:33:09 GMT 2022","Sun Jul 03 03:33:12 GMT 2022","3012","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","TC26, Email without dot test",""
"failed","Sun Jul 03 03:32:37 GMT 2022","Sun Jul 03 03:32:39 GMT 2022","1773","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","TC06, Email without at test",""
"failed","Sun Jul 03 03:32:39 GMT 2022","Sun Jul 03 03:32:41 GMT 2022","1691","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","TC08, Password is empty test",""
"passed","Sun Jul 03 03:32:35 GMT 2022","Sun Jul 03 03:32:36 GMT 2022","1074","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","TC05, Email and description are empty test",""
"passed","Sun Jul 03 03:33:34 GMT 2022","Sun Jul 03 03:33:37 GMT 2022","2625","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","TC20, Message is empty test",""
"passed","Sun Jul 03 03:32:53 GMT 2022","Sun Jul 03 03:33:05 GMT 2022","11742","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","TC11, Everything is filled test",""
"passed","Sun Jul 03 03:32:36 GMT 2022","Sun Jul 03 03:32:37 GMT 2022","1062","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","TC04, Description is empty test",""
"passed","Sun Jul 03 03:33:29 GMT 2022","Sun Jul 03 03:33:34 GMT 2022","4878","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingAfterAt","TC24, Email, nothing after at test",""
"passed","Sun Jul 03 03:33:17 GMT 2022","Sun Jul 03 03:33:22 GMT 2022","4830","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutAt","TC23, Email without at test",""
"passed","Sun Jul 03 03:32:18 GMT 2022","Sun Jul 03 03:32:24 GMT 2022","5495","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","TC16, Double logout on different tabs with logout button test",""
"passed","Sun Jul 03 03:33:08 GMT 2022","Sun Jul 03 03:33:09 GMT 2022","1323","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","TC14, Password is unregistered test",""
