"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 03:25:41 GMT 2022","Sun Jul 03 03:25:42 GMT 2022","1081","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsUnregistered","TC15, Username is unregistered test",""
"failed","Sun Jul 03 03:25:11 GMT 2022","Sun Jul 03 03:25:13 GMT 2022","1509","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationUsernameIsEmpty","TC09, Username is empty test",""
"passed","Sun Jul 03 03:25:13 GMT 2022","Sun Jul 03 03:25:14 GMT 2022","968","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailAndDescriptionAreEmpty","TC05, Email and description are empty test",""
"passed","Sun Jul 03 03:25:14 GMT 2022","Sun Jul 03 03:25:14 GMT 2022","949","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","TC04, Description is empty test",""
"passed","Sun Jul 03 03:25:42 GMT 2022","Sun Jul 03 03:25:43 GMT 2022","1097","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsUnregistered","TC14, Password is unregistered test",""
"passed","Sun Jul 03 03:25:01 GMT 2022","Sun Jul 03 03:25:05 GMT 2022","3938","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","TC02, Close test",""
"failed","Sun Jul 03 03:25:17 GMT 2022","Sun Jul 03 03:25:19 GMT 2022","1429","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","TC07, Email without dot test",""
"passed","Sun Jul 03 03:25:01 GMT 2022","Sun Jul 03 03:25:08 GMT 2022","6291","","requirements.LogoutTests","","requirements.LogoutTests","testDoubleLogoutOnDifferentTabsWithLogoutButton","TC16, Double logout on different tabs with logout button test",""
"passed","Sun Jul 03 03:25:05 GMT 2022","Sun Jul 03 03:25:10 GMT 2022","4477","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","TC01, Accept test",""
"passed","Sun Jul 03 03:25:10 GMT 2022","Sun Jul 03 03:25:11 GMT 2022","1079","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsFilled","TC03, Everything is filled test",""
"passed","Sun Jul 03 03:25:20 GMT 2022","Sun Jul 03 03:25:27 GMT 2022","6972","","requirements.PaginationTests","","requirements.PaginationTests","testPaginationOnBlogPage","TC17, Pagination on blog page test",""
"passed","Sun Jul 03 03:25:40 GMT 2022","Sun Jul 03 03:25:41 GMT 2022","1187","","requirements.LoginTests","","requirements.LoginTests","testLoginUsernameIsEmpty","TC12, Username is empty test",""
"failed","Sun Jul 03 03:25:19 GMT 2022","Sun Jul 03 03:25:20 GMT 2022","1366","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEverythingIsEmpty","TC10, Everything is empty test",""
"passed","Sun Jul 03 03:25:28 GMT 2022","Sun Jul 03 03:25:40 GMT 2022","11432","","requirements.LoginTests","","requirements.LoginTests","testLoginEverythingIsFilled","TC11, Everything is filled test",""
"passed","Sun Jul 03 03:25:27 GMT 2022","Sun Jul 03 03:25:28 GMT 2022","1228","","requirements.LoginTests","","requirements.LoginTests","testLoginPasswordIsEmpty","TC13, Password is empty test",""
"passed","Sun Jul 03 03:25:08 GMT 2022","Sun Jul 03 03:25:10 GMT 2022","2170","","requirements.DataListingTests","","requirements.DataListingTests","testDataListingOnFirstBlogPage","repetition 1 of 1",""
"failed","Sun Jul 03 03:25:15 GMT 2022","Sun Jul 03 03:25:16 GMT 2022","1429","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutAt","TC06, Email without at test",""
"failed","Sun Jul 03 03:25:16 GMT 2022","Sun Jul 03 03:25:17 GMT 2022","1372","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationPasswordIsEmpty","TC08, Password is empty test",""
