"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 03 04:02:31 GMT 2022","Sun Jul 03 04:02:33 GMT 2022","1944","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationEmailWithoutDot","TC07, Email without dot test",""
"failed","Sun Jul 03 04:03:11 GMT 2022","Sun Jul 03 04:03:14 GMT 2022","2846","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailWithoutDot","TC26, Email without dot test",""
"passed","Sun Jul 03 04:03:35 GMT 2022","Sun Jul 03 04:03:38 GMT 2022","2540","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputMessageIsEmpty","TC20, Message is empty test",""
"passed","Sun Jul 03 04:03:14 GMT 2022","Sun Jul 03 04:03:19 GMT 2022","4559","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputCheckboxIsEmpty","TC21, Checkbox is empty test",""
"passed","Sun Jul 03 04:02:14 GMT 2022","Sun Jul 03 04:02:16 GMT 2022","1845","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsClose","TC02, Close test",""
"passed","Sun Jul 03 04:03:43 GMT 2022","Sun Jul 03 04:03:48 GMT 2022","4745","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailIsEmpty","TC22, Email is empty test",""
"passed","Sun Jul 03 04:03:38 GMT 2022","Sun Jul 03 04:03:43 GMT 2022","4836","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEmailNothingBeforeAt","TC25, Email, nothing before at test",""
"passed","Sun Jul 03 04:02:16 GMT 2022","Sun Jul 03 04:02:20 GMT 2022","4178","","requirements.TermsAndConditionsTests","","requirements.TermsAndConditionsTests","testTermsAndConditionsAccept","TC01, Accept test",""
"passed","Sun Jul 03 04:02:26 GMT 2022","Sun Jul 03 04:02:27 GMT 2022","1037","","requirements.RegistrationTests","","requirements.RegistrationTests","testRegistrationDescriptionIsEmpty","TC04, Description is empty test",""
"passed","Sun Jul 03 04:03:23 GMT 2022","Sun Jul 03 04:03:26 GMT 2022","2620","","requirements.DataInputTests","","requirements.DataInputTests","testDataInputEverythingIsFilled","TC19, Everything is filled test",""
